NATIONAL,SPORT:Netball,NAME:Netball Australia,CONTACT_NAME:Shirelle McMahon,CONTACT_EMAIL:netballAust@fakedomain.org,CONTACT_ADDRESS:1 Infinite Loop,,,,,,,,,,,
DIVISION,NAME:15U,COMPETITION:Winter 2017,ASSOCIATION:SDNA_WA,,,,,,,,,,,,,
DIVISION,NAME:13U,COMPETITION:Winter 2017,ASSOCIATION:SDNA_WA,,,,,,,,,,,,,
GRADE,NAME:6,COMPETITION:Winter 2017,ASSOCIATION:SDNA_WA,PARENT:Open,TEAM:Hearts1,TEAM:Manaaki1,,,,,,,,,,
GRADE,NAME:4,COMPETITION:Winter 2017,ASSOCIATION:SDNA_WA,PARENT:15U,TEAM:Hearts2,TEAM:Manaaki2,,,,,,,,,,
GRADE,NAME:6,COMPETITION:Winter 2017,ASSOCIATION:SDNA_WA,PARENT:15U,TEAM:Hearts3,TEAM:Manaaki3,,,,,,,,,,
GRADE,NAME:2,COMPETITION:Winter 2017,ASSOCIATION:SDNA_WA,PARENT:13U,TEAM:Hearts4,TEAM:Manaaki4,,,,,,,,,,
GRADE,NAME:4,COMPETITION:Winter 2017,ASSOCIATION:SDNA_WA,PARENT:13U,TEAM:Hearts5,TEAM:Manaaki5,,,,,,,,,,
TEAM,NAME:Hearts1,PARENT:Hearts,CONTACT_NAME:Deanna Simonton,CONTACT_EMAIL:Deanna.Simonton@fakedom.org,CONTACT_ADDRESS:804 Infinite Loop,PLAYER:Abbey Deneke,PLAYER:Mabel Harrier,PLAYER:Ada Stutzman,PLAYER:Adrienne Hutchison,PLAYER:Adrienne Richburg,PLAYER:Adrienne Wilhelms,PLAYER:Agnes Whiteman,PLAYER:Aida Heitman,PLAYER:Aide Postier,PLAYER:Aimee Rhee,
TEAM,NAME:Hearts2,PARENT:Hearts,CONTACT_NAME:Deanna Taylor,CONTACT_EMAIL:Deanna.Taylor@fakedom.org,CONTACT_ADDRESS:805 Infinite Loop,PLAYER:Abbey Kovalcheck,PLAYER:Mabel Nofsinger,PLAYER:Ada Yoshida,PLAYER:Adrienne Lasley,PLAYER:Adrienne Savoy,PLAYER:Adrienne Witmer,PLAYER:Agripina Falling,PLAYER:Aida Strahl,PLAYER:Aide Silos,PLAYER:Alaina Katt,PLAYER:Alana Glade
TEAM,NAME:Hearts3,PARENT:Hearts,CONTACT_NAME:Deanna Whalen,CONTACT_EMAIL:Deanna.Whalen@fakedom.org,CONTACT_ADDRESS:806 Infinite Loop,PLAYER:Abbey Pagnozzi,PLAYER:Mabel Piccione,PLAYER:Adrianna Morreau,PLAYER:Adrienne Madden,PLAYER:Adrienne Snelling,PLAYER:Agnes Carrell,PLAYER:Agripina Heiberger,PLAYER:Aide Breitbart,PLAYER:Ailene Bambach,PLAYER:Alaina Tiedt,PLAYER:Alana Kube
TEAM,NAME:Hearts4,PARENT:Hearts,CONTACT_NAME:Debbie Barton,CONTACT_EMAIL:Debbie.Barton@fakedom.org,CONTACT_ADDRESS:807 Infinite Loop,PLAYER:Mabel Biegel,PLAYER:Ada Beverly,PLAYER:Adrianna Speach,PLAYER:Adrienne Mcclelland,PLAYER:Adrienne Velez,PLAYER:Agnes Fillmore,PLAYER:Aida Belmont,PLAYER:Aide Kallin,PLAYER:Ailene Bolstad,PLAYER:Alaina Wakeham,
TEAM,NAME:Hearts5,PARENT:Hearts,CONTACT_NAME:Debbie Brodeur,CONTACT_EMAIL:Debbie.Brodeur@fakedom.org,CONTACT_ADDRESS:808 Infinite Loop,PLAYER:Mabel Carros,PLAYER:Ada Flick,PLAYER:Adrienne Gallant,PLAYER:Adrienne Mcneal,PLAYER:Adrienne Wilhelm,PLAYER:Agnes Neace,PLAYER:Aida Bushey,PLAYER:Aide Liesmann,PLAYER:Ailene Caisse,PLAYER:Alana Boice,
TEAM,NAME:Manaaki1,PARENT:Manaaki,CONTACT_NAME:Debbie Dingess,CONTACT_EMAIL:Debbie.Dingess@fakedom.org,CONTACT_ADDRESS:809 Infinite Loop,PLAYER:Amelia Blue,PLAYER:Amelia Meacham,PLAYER:Amie Kissane,PLAYER:Amy Valliere,PLAYER:Ana Giese,PLAYER:Angela Araujo,PLAYER:Angelica Ayala,PLAYER:Angelica Pattison,,,
TEAM,NAME:Manaaki2,PARENT:Manaaki,CONTACT_NAME:Debbie Hornsby,CONTACT_EMAIL:Debbie.Hornsby@fakedom.org,CONTACT_ADDRESS:810 Infinite Loop,PLAYER:Amelia Currin,PLAYER:Amelia Stover,PLAYER:Amie Porta,PLAYER:Amy Wilson,PLAYER:Ana Hannah,PLAYER:Angela Dyke,PLAYER:Angelica Derr,PLAYER:Angie Hutchens,,,
TEAM,NAME:Manaaki3,PARENT:Manaaki,CONTACT_NAME:Debbie Koehler,CONTACT_EMAIL:Debbie.Koehler@fakedom.org,CONTACT_ADDRESS:811 Infinite Loop,PLAYER:Amelia Jarrell,PLAYER:Ami Welding,PLAYER:Amy Bedford,PLAYER:Ana Bridges,PLAYER:Ana Hirst,PLAYER:Angela Froncillo,PLAYER:Angelica Hanlon,PLAYER:Angie Patterson,PLAYER:Angie Thorpe,,
TEAM,NAME:Manaaki4,PARENT:Manaaki,CONTACT_NAME:Debbie Northcutt,CONTACT_EMAIL:Debbie.Northcutt@fakedom.org,CONTACT_ADDRESS:812 Infinite Loop,PLAYER:Amelia Jonas,PLAYER:Amie Bromberg,PLAYER:Amy Boren,PLAYER:Ana Calvillo,PLAYER:Ana Macias,PLAYER:Angelena Parrillo,PLAYER:Angelica Joe,PLAYER:Angie Shropshire,,,
TEAM,NAME:Manaaki5,PARENT:Manaaki,CONTACT_NAME:Debbie Ruch,CONTACT_EMAIL:Debbie.Ruch@fakedom.org,CONTACT_ADDRESS:813 Infinite Loop,PLAYER:Amelia Mckeever,PLAYER:Amie Delcambre,PLAYER:Amy Stocks,PLAYER:Ana Findley,PLAYER:Angela Annis,PLAYER:Angelena Rundlett,PLAYER:Angelica Mackie,PLAYER:Angie Stock,,,
COMPETITION,NAME:Winter 2017,ASSOCIATION:PNA_WA,START:28/4/2017,END:16/9/2017,,,,,,,,,,,,
DIVISION,NAME:Open,COMPETITION:Winter 2017,ASSOCIATION:PNA_WA,,,,,,,,,,,,,
DIVISION,NAME:15U,COMPETITION:Winter 2017,ASSOCIATION:PNA_WA,,,,,,,,,,,,,
DIVISION,NAME:13U,COMPETITION:Winter 2017,ASSOCIATION:PNA_WA,,,,,,,,,,,,,
GRADE,NAME:5,COMPETITION:Winter 2017,ASSOCIATION:PNA_WA,PARENT:Open,TEAM:AJets1,TEAM:Classics1,,,,,,,,,,
GRADE,NAME:2,COMPETITION:Winter 2017,ASSOCIATION:PNA_WA,PARENT:15U,TEAM:AJets2,TEAM:Classics2,,,,,,,,,,
GRADE,NAME:4,COMPETITION:Winter 2017,ASSOCIATION:PNA_WA,PARENT:15U,TEAM:AJets3,TEAM:Classics3,,,,,,,,,,
GRADE,NAME:1,COMPETITION:Winter 2017,ASSOCIATION:PNA_WA,PARENT:13U,TEAM:AJets4,TEAM:Classics4,,,,,,,,,,
GRADE,NAME:3,COMPETITION:Winter 2017,ASSOCIATION:PNA_WA,PARENT:13U,TEAM:AJets5,TEAM:Classics5,,,,,,,,,,
TEAM,NAME:AJets1,PARENT:AJets,CONTACT_NAME:Debbie Sapp,CONTACT_EMAIL:Debbie.Sapp@fakedom.org,CONTACT_ADDRESS:814 Infinite Loop,PLAYER:Betsey Schloemer,PLAYER:Betty Chi,PLAYER:Betty Vazquez,PLAYER:Beverly Kessler,PLAYER:Blanca Mcdonnell,PLAYER:Blanche Segovia,PLAYER:Bobette Rongo,PLAYER:Bonnie Koski,,,
TEAM,NAME:AJets2,PARENT:AJets,CONTACT_NAME:Debbie Valdes,CONTACT_EMAIL:Debbie.Valdes@fakedom.org,CONTACT_ADDRESS:815 Infinite Loop,PLAYER:Betsey Shiels,PLAYER:Betty Kirkwood,PLAYER:Betty Weidman,PLAYER:Beverly Villalobos,PLAYER:Blanche Dufrene,PLAYER:Blondell Ransbottom,PLAYER:Bok Barbrick,PLAYER:Bonnie Massa,,,
TEAM,NAME:AJets3,PARENT:AJets,CONTACT_NAME:Debbie Yates,CONTACT_EMAIL:Debbie.Yates@fakedom.org,CONTACT_ADDRESS:816 Infinite Loop,PLAYER:Bette Mcchristian,PLAYER:Betty Knowlton,PLAYER:Beulah Haupt,PLAYER:Blanca Forbes,PLAYER:Blanche Labelle,PLAYER:Blossom Golas,PLAYER:Bok Sterle,PLAYER:Bonnie Mosby,,,
TEAM,NAME:AJets4,PARENT:AJets,CONTACT_NAME:Debbie Zorn,CONTACT_EMAIL:Debbie.Zorn@fakedom.org,CONTACT_ADDRESS:817 Infinite Loop,PLAYER:Bette Zeman,PLAYER:Betty Moran,PLAYER:Beulah Munguia,PLAYER:Blanca Kidwell,PLAYER:Blanche Lemos,PLAYER:Blossom Swanda,PLAYER:Bonita Zambrana,PLAYER:Bonnie Scoggins,,,
TEAM,NAME:AJets5,PARENT:AJets,CONTACT_NAME:Debora Bolles,CONTACT_EMAIL:Debora.Bolles@fakedom.org,CONTACT_ADDRESS:818 Infinite Loop,PLAYER:Bettie Fussell,PLAYER:Betty Pabon,PLAYER:Beulah Nathan,PLAYER:Blanca Kile,PLAYER:Blanche Pearl,PLAYER:Blossom Zembower,PLAYER:Bonnie Forney,PLAYER:Bonny Kurkowski,,,
TEAM,NAME:Classics1,PARENT:Classics,CONTACT_NAME:Debora Grass,CONTACT_EMAIL:Debora.Grass@fakedom.org,CONTACT_ADDRESS:819 Infinite Loop,PLAYER:Brandi Bigler,PLAYER:Breana Heter,PLAYER:Brenda Holloway,PLAYER:Bridget Ridenour,PLAYER:Brinda Orama,PLAYER:Brittanie Askland,PLAYER:Brittany Kenner,PLAYER:Buena Latella,,,
TEAM,NAME:Classics2,PARENT:Classics,CONTACT_NAME:Debora Wagstaff,CONTACT_EMAIL:Debora.Wagstaff@fakedom.org,CONTACT_ADDRESS:820 Infinite Loop,PLAYER:Brandi Cate,PLAYER:Breana Lovaas,PLAYER:Brenda Landin,PLAYER:Brigette Moranda,PLAYER:Brinda Solivan,PLAYER:Brittanie Cestari,PLAYER:Brittany Parsons,PLAYER:Bula Santwire,,,
TEAM,NAME:Classics3,PARENT:Classics,CONTACT_NAME:Debora Wilmore,CONTACT_EMAIL:Debora.Wilmore@fakedom.org,CONTACT_ADDRESS:821 Infinite Loop,PLAYER:Brandi Keil,PLAYER:Breana Zuckerberg,PLAYER:Brenda Pennington,PLAYER:Brinda Arrasmith,PLAYER:Britt Fupocyupanqui,PLAYER:Brittany Bost,PLAYER:Brittany Paynter,PLAYER:Bulah Eison,,,
TEAM,NAME:Classics4,PARENT:Classics,CONTACT_NAME:Deborah Bronson,CONTACT_EMAIL:Deborah.Bronson@fakedom.org,CONTACT_ADDRESS:822 Infinite Loop,PLAYER:Brandi Mcauliffe,PLAYER:Breann Creson,PLAYER:Bridget Bailey,PLAYER:Brinda Blacketer,PLAYER:Britt Nykiel,PLAYER:Brittany Crawford,PLAYER:Brittany Riley,PLAYER:Bulah Sughroue,,,
TEAM,NAME:Classics5,PARENT:Classics,CONTACT_NAME:Deborah Chest,CONTACT_EMAIL:Deborah.Chest@fakedom.org,CONTACT_ADDRESS:823 Infinite Loop,PLAYER:Brandy Grabowski,PLAYER:Brenda Abell,PLAYER:Bridget Derose,PLAYER:Brinda Hesch,PLAYER:Brittanie Abendroth,PLAYER:Brittany Grande,PLAYER:Brittany Woodward,PLAYER:Caitlin Mcnaught,,,
PERSON,NAME:Hermione Granger,CONTACT_ADDRESS:8 Infinite Loop,CONTACT_EMAIL:Hermione@fakedomain.org,DOB:1/1/2000,,,,,,,,,,,,
PERSON,NAME:Rebecca Hartman-Baker,CONTACT_ADDRESS:9 Infinite Loop,CONTACT_EMAIL:Rebecca@fakedom,DOB:1/2/2001,,,,,,,,,,,,
PERSON,NAME:Kelly Tribbeck,CONTACT_ADDRESS:10 Infinite Loop,CONTACT_EMAIL:Kelly@fakedom.org,DOB:3/1/1999,,,,,,,,,,,,
STATE,NAME:Netball Tasmania,PARENT:Netball Australia,CONTACT_NAME:Cath Cox,CONTACT_EMAIL:netballTas@fakedomain.org,CONTACT_ADDRESS:3 Infinite Loop,,,,,,,,,,,
ASSOCIATION,NAME:North Eastern Netball Association,SHORT:NENA_Tas,PARENT:Netball Tasmania,CONTACT_NAME:Amy Bedford,CONTACT_EMAIL:Amy.Bedford@fakedom.org,CONTACT_ADDRESS:161 Infinite Loop,UMPIRE:Darlene Sandler,UMPIRE:Darlene Villarreal,UMPIRE:Deadra Cowee,UMPIRE:Deadra Jainlett,UMPIRE:Deadra Owney,,,,,
CLUB,NAME:Scottsdale,SHORT:ScottsdaleNC,PARENT:NENA_Tas,CONTACT_NAME:Amy Boren,CONTACT_EMAIL:Amy.Boren@fakedom.org,CONTACT_ADDRESS:162 Infinite Loop,,,,,,,,,,
CLUB,NAME:Derby Netball Club,SHORT:DerbyNC,PARENT:NENA_Tas,CONTACT_NAME:Amy Stocks,CONTACT_EMAIL:Amy.Stocks@fakedom.org,CONTACT_ADDRESS:163 Infinite Loop,,,,,,,,,,
CLUB,NAME:Central Swifts Netball Club,SHORT:CentralSwiftsNC,PARENT:NENA_Tas,CONTACT_NAME:Amy Valliere,CONTACT_EMAIL:Amy.Valliere@fakedom.org,CONTACT_ADDRESS:164 Infinite Loop,,,,,,,,,,
CLUB,NAME:Bridport Netball Club,SHORT:BridportNC,PARENT:NENA_Tas,CONTACT_NAME:Amy Wilson,CONTACT_EMAIL:Amy.Wilson@fakedom.org,CONTACT_ADDRESS:165 Infinite Loop,,,,,,,,,,
CLUB,NAME:Ringarooma Netball Club,SHORT:RingaroomaNC,PARENT:NENA_Tas,CONTACT_NAME:Ana Bridges,CONTACT_EMAIL:Ana.Bridges@fakedom.org,CONTACT_ADDRESS:166 Infinite Loop,,,,,,,,,,
COMPETITION,NAME:Winter 2017,ASSOCIATION:NENA_Tas,START:28/4/2017,END:16/9/2017,,,,,,,,,,,,
DIVISION,NAME:Open,COMPETITION:Winter 2017,ASSOCIATION:NENA_Tas,,,,,,,,,,,,,
DIVISION,NAME:15U,COMPETITION:Winter 2017,ASSOCIATION:NENA_Tas,,,,,,,,,,,,,
DIVISION,NAME:13U,COMPETITION:Winter 2017,ASSOCIATION:NENA_Tas,,,,,,,,,,,,,
GRADE,NAME:6,COMPETITION:Winter 2017,ASSOCIATION:NENA_Tas,PARENT:Open,TEAM:Scottsdale1,TEAM:Ringarooma1,,,,,,,,,,
GRADE,NAME:4,COMPETITION:Winter 2017,ASSOCIATION:NENA_Tas,PARENT:15U,TEAM:Scottsdale2,TEAM:Ringarooma2,,,,,,,,,,
GRADE,NAME:6,COMPETITION:Winter 2017,ASSOCIATION:NENA_Tas,PARENT:15U,TEAM:Scottsdale3,TEAM:Ringarooma3,,,,,,,,,,
GRADE,NAME:2,COMPETITION:Winter 2017,ASSOCIATION:NENA_Tas,PARENT:13U,TEAM:Scottsdale4,TEAM:Ringarooma4,,,,,,,,,,
GRADE,NAME:4,COMPETITION:Winter 2017,ASSOCIATION:NENA_Tas,PARENT:13U,TEAM:Scottsdale5,TEAM:Ringarooma5,,,,,,,,,,
TEAM,NAME:Scottsdale1,PARENT:ScottsdaleNC,CONTACT_NAME:Deborah Gregor,CONTACT_EMAIL:Deborah.Gregor@fakedom.org,CONTACT_ADDRESS:824 Infinite Loop,PLAYER:Annett Balogun,PLAYER:Annie Jefferson,PLAYER:Antoinette Candelario,PLAYER:April Allan,PLAYER:April Upshaw,PLAYER:Apryl Jinwright,PLAYER:Ara Townsell,PLAYER:Argelia Gave,,,
TEAM,NAME:Scottsdale2,PARENT:ScottsdaleNC,CONTACT_NAME:Deborah Morley,CONTACT_EMAIL:Deborah.Morley@fakedom.org,CONTACT_ADDRESS:825 Infinite Loop,PLAYER:Annett Semper,PLAYER:Annie Koonce,PLAYER:Antoinette Glidden,PLAYER:April Batey,PLAYER:April Urrea,PLAYER:Apryl Mayland,PLAYER:Aracelis Daudt,PLAYER:Argelia Longbrake,,,
TEAM,NAME:Scottsdale3,PARENT:ScottsdaleNC,CONTACT_NAME:Deborah Smith,CONTACT_EMAIL:Deborah.Smith@fakedom.org,CONTACT_ADDRESS:826 Infinite Loop,PLAYER:Annette Bohn,PLAYER:Annie Markel,PLAYER:Antoinette Halbert,PLAYER:April Hardcastle,PLAYER:April Wigfall,PLAYER:Apryl Urrea,PLAYER:Argelia Coler,PLAYER:Ariana Colindres,,,
TEAM,NAME:Scottsdale4,PARENT:ScottsdaleNC,CONTACT_NAME:Deborah Torrey,CONTACT_EMAIL:Deborah.Torrey@fakedom.org,CONTACT_ADDRESS:827 Infinite Loop,PLAYER:Annie Berryhill,PLAYER:Annie Osullivan,PLAYER:Antoinette Longo,PLAYER:April Miller,PLAYER:Apryl Borello,PLAYER:Ara Hererra,PLAYER:Argelia Divel,PLAYER:Ariana Mean,,,
TEAM,NAME:Scottsdale5,PARENT:ScottsdaleNC,CONTACT_NAME:Debra Grant,CONTACT_EMAIL:Debra.Grant@fakedom.org,CONTACT_ADDRESS:828 Infinite Loop,PLAYER:Annie Farrington,PLAYER:Antoinette Blunt,PLAYER:Antoinette Musgrove,PLAYER:April Sisson,PLAYER:Apryl Groos,PLAYER:Ara Sawatzky,PLAYER:Argelia Eismont,PLAYER:Ariana Mongelli,,,
TEAM,NAME:Ringarooma1,PARENT:RingaroomaNC,CONTACT_NAME:Debra Larosa,CONTACT_EMAIL:Debra.Larosa@fakedom.org,CONTACT_ADDRESS:829 Infinite Loop,PLAYER:Ariana Zeches,PLAYER:Arlene Belle,PLAYER:Arlene Medford,PLAYER:Arlene Wellington,PLAYER:Arlie Kapetanos,PLAYER:Arminda Ketchie,PLAYER:Asia Fausett,PLAYER:Aubrey Prows,,,
TEAM,NAME:Ringarooma2,PARENT:RingaroomaNC,CONTACT_NAME:Debra Manzano,CONTACT_EMAIL:Debra.Manzano@fakedom.org,CONTACT_ADDRESS:830 Infinite Loop,PLAYER:Ariane Babel,PLAYER:Arlene Bergmann,PLAYER:Arlene Pitchford,PLAYER:Arlene Wilk,PLAYER:Arlyne Aumend,PLAYER:Arminda Murach,PLAYER:Asia Gotchy,PLAYER:Aubrey Tamburello,,,
TEAM,NAME:Ringarooma3,PARENT:RingaroomaNC,CONTACT_NAME:Debra Stilwell,CONTACT_EMAIL:Debra.Stilwell@fakedom.org,CONTACT_ADDRESS:831 Infinite Loop,PLAYER:Arie Brender,PLAYER:Arlene Defelice,PLAYER:Arlene Serrano,PLAYER:Arletha Ewbank,PLAYER:Arlyne Cwiakala,PLAYER:Asa Apthorpe,PLAYER:Asia Gucman,PLAYER:Audrey Buck,,,
TEAM,NAME:Ringarooma4,PARENT:RingaroomaNC,CONTACT_NAME:Debrah Gitter,CONTACT_EMAIL:Debrah.Gitter@fakedom.org,CONTACT_ADDRESS:832 Infinite Loop,PLAYER:Arie Ledo,PLAYER:Arlene Leathers,PLAYER:Arlene Shepherd,PLAYER:Arletha Keawe,PLAYER:Armanda Cyphert,PLAYER:Ashlee Capellan,PLAYER:Aubrey Demora,PLAYER:Audrey Canter,,,
TEAM,NAME:Ringarooma5,PARENT:RingaroomaNC,CONTACT_NAME:Debrah Semans,CONTACT_EMAIL:Debrah.Semans@fakedom.org,CONTACT_ADDRESS:833 Infinite Loop,PLAYER:Arlene Balderas,PLAYER:Arlene Lindley,PLAYER:Arlene Thibault,PLAYER:Arletha Pravata,PLAYER:Armanda Spark,PLAYER:Ashlee Comes,PLAYER:Aubrey Pleva,PLAYER:Audrey Chiang,,,
ASSOCIATION,NAME:Kingborough Netball Association,SHORT:KNA_Tas,PARENT:Netball Tasmania,CONTACT_NAME:Ana Calvillo,CONTACT_EMAIL:Ana.Calvillo@fakedom.org,CONTACT_ADDRESS:167 Infinite Loop,,UMPIRE:Deadra Pitaniello,UMPIRE:Dean Bergey,UMPIRE:Dean Buchanon,UMPIRE:Dean Cambridge,UMPIRE:Dean Fore,,,,
CLUB,NAME:Illawarra Netball Club,SHORT:IllawarraNC,PARENT:KNA_Tas,CONTACT_NAME:Ana Findley,CONTACT_EMAIL:Ana.Findley@fakedom.org,CONTACT_ADDRESS:168 Infinite Loop,,,,,,,,,,
CLUB,NAME:Kingston Netball Club,SHORT:KingstonNC,PARENT:KNA_Tas,CONTACT_NAME:Ana Giese,CONTACT_EMAIL:Ana.Giese@fakedom.org,CONTACT_ADDRESS:169 Infinite Loop,,,,,,,,,,
CLUB,NAME:SCC,SHORT:SCC,PARENT:KNA_Tas,CONTACT_NAME:Dana Giese,CONTACT_EMAIL:Dana.Giese@fakedom.org,CONTACT_ADDRESS:169 Infinite Loop,,,,,,,,,,
COMPETITION,NAME:Winter 2017,ASSOCIATION:KNA_Tas,START:28/4/2017,END:16/9/2017,,,,,,,,,,,,
DIVISION,NAME:Open,COMPETITION:Winter 2017,ASSOCIATION:KNA_Tas,,,,,,,,,,,,,
DIVISION,NAME:15U,COMPETITION:Winter 2017,ASSOCIATION:KNA_Tas,,,,,,,,,,,,,
DIVISION,NAME:13U,COMPETITION:Winter 2017,ASSOCIATION:KNA_Tas,,,,,,,,,,,,,
GRADE,NAME:6,COMPETITION:Winter 2017,ASSOCIATION:KNA_Tas,PARENT:Open,TEAM:Illawarra1,TEAM:Kingston2,,,,,,,,,,
GRADE,NAME:4,COMPETITION:Winter 2017,ASSOCIATION:KNA_Tas,PARENT:15U,TEAM:Illawarra2,TEAM:Kingston3,,,,,,,,,,
GRADE,NAME:6,COMPETITION:Winter 2017,ASSOCIATION:KNA_Tas,PARENT:15U,TEAM:Illawarra3,TEAM:SCC1,,,,,,,,,,
GRADE,NAME:2,COMPETITION:Winter 2017,ASSOCIATION:KNA_Tas,PARENT:13U,TEAM:Illawarra4,TEAM:SCC2,,,,,,,,,,
GRADE,NAME:4,COMPETITION:Winter 2017,ASSOCIATION:KNA_Tas,PARENT:13U,TEAM:Kingston1,TEAM:SCC3,,,,,,,,,,
TEAM,NAME:Illawarra1,PARENT:IllawarraNC,CONTACT_NAME:Debrah Stoneham,CONTACT_EMAIL:Debrah.Stoneham@fakedom.org,CONTACT_ADDRESS:834 Infinite Loop,PLAYER:Audrey Dyke,PLAYER:Aurore Manganello,PLAYER:Avis Goggins,PLAYER:Bambi Sappenfield,PLAYER:Beata Dzledzic,PLAYER:Beatrice Rose,PLAYER:Becky Crouse,PLAYER:Belen Floor,,,
TEAM,NAME:Illawarra2,PARENT:IllawarraNC,CONTACT_NAME:Debrah Venancio,CONTACT_EMAIL:Debrah.Venancio@fakedom.org,CONTACT_ADDRESS:835 Infinite Loop,PLAYER:Audrey Flores,PLAYER:Aurore Schweers,PLAYER:Babara Howarter,PLAYER:Barbara Bushey,PLAYER:Beatrice Chatman,PLAYER:Bebe Bintliff,PLAYER:Becky Dishman,PLAYER:Belen Sheerin,,,
TEAM,NAME:Illawarra3,PARENT:IllawarraNC,CONTACT_NAME:Deeanna Deneke,CONTACT_EMAIL:Deeanna.Deneke@fakedom.org,CONTACT_ADDRESS:836 Infinite Loop,PLAYER:Audrey Medrano,PLAYER:Aurore Vecchia,PLAYER:Babara Keaty,PLAYER:Barbara Lough,PLAYER:Beatrice Dalrymple,PLAYER:Becki Deblieck,PLAYER:Becky Hackman,PLAYER:Belen Sneddon,,,
TEAM,NAME:Illawarra4,PARENT:IllawarraNC,CONTACT_NAME:Deeanna Woelfl,CONTACT_EMAIL:Deeanna.Woelfl@fakedom.org,CONTACT_ADDRESS:837 Infinite Loop,PLAYER:Audrey Revell,PLAYER:Avis Capozzoli,PLAYER:Bambi Dura,PLAYER:Barbara Vanover,PLAYER:Beatrice Dombrowski,PLAYER:Becki Norsen,PLAYER:Becky Thies,PLAYER:Belinda Aranda,,,
